company,gross
Warner Bros.,58461325565
Universal Pictures,54811498771
Columbia Pictures,50453311657
Walt Disney Pictures,46900185481
Marvel Studios,45115906192
Paramount Pictures,41041407928
20th Century Fox,27388273406
Legendary Pictures,19453923001
New Line Cinema,19426490440
DreamWorks Animation,18550483197
Disney-Pixar,17267393186
Amblin Entertainment,17024425885
Dune Entertainment,16886180969
Relativity Media,15370606774
Metro-Goldwyn-Mayer Pictures,15256283687
Village Roadshow Productions,15184137937
Heyday Films,13649775988
DreamWorks Pictures,13591428016
Regency Enterprises,13262839567
Walt Disney Animation Studios,12286725876
Lucasfilm,12092253859
Lionsgate,11595312125
Illumination Entertainment,10702388337
TSG Entertainment,10331002468
RatPac Entertainment,10111327522
Original Film,9827971549
Skydance Productions,9284065567
Touchstone Pictures,8907772970
Summit Entertainment,8576443730
Working Title Films,8198046638
di Bonaventura Pictures,8189684754
DC Films,8130103679
Perfect World Pictures,7452767844
Jerry Bruckheimer,7377891656
Twentieth Century Fox,7293510534
Wingnut Films,7241040775
Bad Robot,7124756698
Eon Productions,7114118085
The Kennedy/Marshall Company,6841464714
Blumhouse,6408404824
1492 Pictures,6134256948
One Race Films,6122702280
Syncopy,6099691321
Lightstorm Entertainment,6093833452
Fox 2000 Pictures,5915266509
Sony Pictures Animation,5759170736
Silver Pictures,5754855140
The Safran Company,5716079375
Imagine Entertainment,5678000112
Hasbro Studios,5604531511
Scott Free Films,5490524533
Temple Hill Entertainment,5404321273
Pascal Pictures,5379015452
Atlas Entertainment,5258802502
Ingenious Film Partners,5182192098
Canal Plus,5091899687
Blue Sky Studios,5080704457
Tri-Star Pictures,4943699538
PDI,4838663107
Marc Platt Productions,4717394900
Donners’ Company,4692528974
New Regency,4659435437
Roth Films,4629719248
Chernin Entertainment,4622632831
Ingenious Media,4552921536
Spyglass Entertainment,4454624355
Vertigo Entertainment,4444938569
Dentsu Inc.,4422443739
StudioCanal,4412090348
Plan B Entertainment,4407501793
Screen Gems,4352488349
Parkes+Macdonald Productions,4301876647
Focus Features,4219820593
Davis Entertainment,4180737891
Walden Media,4148202038
Zancuk Company,4077553909
Jerry Bruckheimer Films,4041225485
Fairview Entertainment,4041054250
Sunswept Entertainment,3967727786
Overbrook Entertainment,3936529668
Cruel and Unusual Films,3928048144
Happy Madison,3907017289
Kinberg Genre,3891749905
Scott Rudin Productions,3834275694
Color Force,3822769807
20th Century Studios,3801795912
Chris Meledandri,3729174649
LStar Capital,3701770919
Centropolis Entertainment,3670073209
Brian Grazer Productions,3581788843
Atomic Monster,3559559690
Seven Bucks Productions,3514453895
GK Films,3453923043
Castle Rock Entertainment,3431524464
Wanda Media,3401046984
A24,3354307407
United Artists,3266190018
Fox Searchlight Pictures,3260759995
Participant Media,3254039262
Mandeville Films,3227693208
Revolution Studios,3223848476
Tom Cruise Productions,3176446407
Weinstein Company,3153828602
Beijing Enlight Pictures,3066434542
Tencent Pictures,3039555105
Cruise-Wagner,3031872684
Thunder Road Film,2936946397
Miramax Films,2889093960
Matt Tolmach Productions,2880445635
Rideback,2863052792
China Film Company,2792136098
Chengdu Coco Cartoon,2743873590
Bad Hat Harry Productions,2735381962
21 Laps Entertainment,2729597447
Laura Ziskin Productions,2721983081
20th Century Fox Animation,2699416199
MRC,2662744165
Millennium Films,2640285670
Platinum Dunes,2609042532
Domain Entertainment,2586626048
Nickelodeon Films,2477926402
EuropaCorp,2477394583
Blinding Edge Pictures,2444112360
Tribeca Film,2412512848
CMC Pictures,2399688127
Arad Productions,2377670109
Weed Road Pictures,2314280769
Constantin Film,2293364093
Big Screen Prods,2282559153
Malpaso Productions,2262111956
Alcon Entertainment,2238392865
Michael De Luca Productions,2236527093
Playtone,2220444673
Lakeshore Entertainment,2209456977
Entertainment One,2175643917
Sony Pictures,2174739316
Escape Artists,2153469013
Bron Creative,2137511702
Bluegrass Films,2134955384
Reliance Entertainment,2113268301
Appian Way,2064943101
ImageMovers,2051944089
BBC Films,2051174182
China Film Co. LTD,2044535601
Hollywood Pictures,2036429870
Chengdu Zizai Jingjie Culture Media,2001155094
Beijing Enlight Media,2001155094
Beijing Coloroom Technology,2001155094
Fuji Television Network,1947407918
Tom DeSanto,1940573771
Don Murphy,1940573771
Cine Plus,1928195871
Roth Kirschenbaum Films,1906254990
Dimension Films,1838765705
TF1 Film Productions,1829478374
Imprint Entertainment,1828724149
Joint Effort,1809598774
Studio Ghibli,1788202816
Perfect Storm Entertainment,1781887525
DMG Entertainment,1765758914
Flynn Picture Company,1757333617
Stage 6 Films,1757184257
LuckyChap Entertainment,1753554603
Mosaic Media,1751901188
FilmNation Entertainment,1730246288
Green Hat Films,1729019191
Alphaville,1725417853
De Line Pictures,1724131178
